Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Phytophthora parasitica	Eukaryota	Protists	Other Protists	48.0752	49.6	22040	26824
Fragaria nipponica	Eukaryota	Plants	Land Plants	206.415	38.4	0	0
Sorex araneus	Eukaryota	Animals	Mammals	2423.16	43.4	21961	23427
Fibulorhizoctonia sp. CBS 109695	Eukaryota	Fungi	Basidiomycetes	95.1181	51.5	33036	32854
Pogonomyrmex barbatus	Eukaryota	Animals	Insects	235.646	37.2	12524	18978
Plasmopara halstedii	Eukaryota	Protists	Other Protists	75.3218	45.7	15469	15469
Brassica nigra	Eukaryota	Plants	Land Plants	402.145	36.3207	0	0
Megaselia scalaris	Eukaryota	Animals	Insects	489.348	39.2	0	0
Eutreta diana	Eukaryota	Animals	Insects	233.053	38.8	0	0
Daphnia pulex	Eukaryota	Animals	Other Animals	197.206	42.4	30612	30611
Azadirachta indica	Eukaryota	Plants	Land Plants	261.458	43.2	0	0
Colinus virginianus	Eukaryota	Animals	Birds	1171.86	43	0	0
Pseudogymnoascus sp. VKM F-4514 (FW-929)	Eukaryota	Fungi	Ascomycetes	27.027	50.5	8865	8865
Setaria italica	Eukaryota	Plants	Land Plants	477.542	46.2756	0	0
Ursus arctos	Eukaryota	Animals	Mammals	0.775393	38.9	0	0
Octopus bimaculoides	Eukaryota	Animals	Other Animals	2338.19	37.8	17587	23994
Austrofundulus limnaeus	Eukaryota	Animals	Fishes	866.963	41.1	26706	35329
Trypanosoma grayi	Eukaryota	Protists	Kinetoplasts	20.9341	53.9	10667	10583
Triops cancriformis	Eukaryota	Animals	Other Animals	109.182	41.2	0	0
Otolemur garnettii	Eukaryota	Animals	Mammals	2519.72	41.5	25777	26925
Sporisorium scitamineum	Eukaryota	Fungi	Basidiomycetes	20.0676	55.0444	0	0
Tilletia indica	Eukaryota	Fungi	Basidiomycetes	37.4603	54.6	0	0
Phortica variegata	Eukaryota	Animals	Insects	155.55	36.3	0	0
Diphyllobothrium latum	Eukaryota	Animals	Flatworms	531.434	43.7	0	0
Rosa x damascena	Eukaryota	Plants	Land Plants	711.72	37.6	0	0
Drosophila americana	Eukaryota	Animals	Insects	166.08	40.4	0	0
Gongronella sp. w5	Eukaryota	Fungi	Other Fungi	34.7235	48.2	0	0
Acyrthosiphon pisum	Eukaryota	Animals	Insects	541.692	31.1995	20711	27999
Pneumocystis jirovecii	Eukaryota	Fungi	Ascomycetes	8.17998	28.4	3754	3537
Pyrenochaeta sp. UM 256	Eukaryota	Fungi	Ascomycetes	35.4843	50.4	0	0
Musca domestica	Eukaryota	Animals	Insects	750.404	36.1	15460	19552
Vitis aestivalis	Eukaryota	Plants	Land Plants	432.755	33.8	0	0
Cutaneotrichosporon cutaneum	Eukaryota	Fungi	Basidiomycetes	38.6964	60.3	0	0
Rhizopus microsporus	Eukaryota	Fungi	Other Fungi	49.5918	38.4	18885	22427
Brugia timori	Eukaryota	Animals	Roundworms	64.9307	30.4	0	0
Wickerhamiella domercqiae	Eukaryota	Fungi	Ascomycetes	8.47081	48.4	0	0
Ustilago bromivora	Eukaryota	Fungi	Basidiomycetes	20.625	52.2675	7408	7227
Drosophila ananassae	Eukaryota	Animals	Insects	230.993	42.5	15614	21191
Colletotrichum incanum	Eukaryota	Fungi	Ascomycetes	53.2546	52.1	12000	11852
Pseudogymnoascus sp. 04NY16	Eukaryota	Fungi	Ascomycetes	31.3143	0.0294622	0	0
Ricinus communis	Eukaryota	Plants	Land Plants	350.622	34.4006	22200	27998
Rhizophagus irregularis	Eukaryota	Fungi	Other Fungi	125.354	25.9	0	0
Zea mays	Eukaryota	Plants	Land Plants	2067.62	46.2	276	291
Fusarium phaseoli	Eukaryota	Fungi	Ascomycetes	50.5344	0	0	0
Diachasma alloeum	Eukaryota	Animals	Insects	388.753	39.1	13730	19692
Sclerospora graminicola	Eukaryota	Protists	Other Protists	210.839	44.7	0	0
Penicillium solitum	Eukaryota	Fungi	Ascomycetes	31.779	47.9	0	0
Fundulus heteroclitus	Eukaryota	Animals	Fishes	1021.9	41.2	25142	33705
Eimeria acervulina	Eukaryota	Protists	Apicomplexans	45.8306	48.3	6867	6867
Yarrowia sp. JCM 30694	Eukaryota	Fungi	Ascomycetes	21.7583	46	0	0
Candida apicola	Eukaryota	Fungi	Ascomycetes	9.76988	45.2	0	0
Epichloe sp. AL9924	Eukaryota	Fungi	Ascomycetes	36.1696	44	0	0
Eulemur macaco	Eukaryota	Animals	Mammals	2119.88	38.3	0	0
Trichinella papuae	Eukaryota	Animals	Roundworms	46.8445	32.7	11837	16247
Musa itinerans	Eukaryota	Plants	Land Plants	455.349	35.4	0	0
Balaenoptera bonaerensis	Eukaryota	Animals	Mammals	2234.64	40.7	0	0
Arabis nordmanniana	Eukaryota	Plants	Land Plants	342.307	35	0	0
Vaccinium macrocarpon	Eukaryota	Plants	Land Plants	414.622	37.7	0	0
Steinernema feltiae	Eukaryota	Animals	Roundworms	82.5044	46.7	0	0
Cannabis sativa	Eukaryota	Plants	Land Plants	585.824	0	0	0
Cryptococcus sp. JCM 24511	Eukaryota	Fungi	Basidiomycetes	28.1809	58.5	0	0
Colletotrichum lindemuthianum	Eukaryota	Fungi	Ascomycetes	67.6737	43.9	0	0
Arachis duranensis	Eukaryota	Plants	Land Plants	1075.96	31.8	0	0
Spathaspora hagerdaliae	Eukaryota	Fungi	Ascomycetes	16.6141	35	0	0
Habropoda laboriosa	Eukaryota	Animals	Insects	296.955	39.6	10345	12256
Sphaeromyxa zaharoni	Eukaryota	Animals	Other Animals	173.585	28	0	0
Taenia asiatica	Eukaryota	Animals	Flatworms	135.978	43	0	0
Caenorhabditis elegans	Eukaryota	Animals	Roundworms	100.286	35.4317	46728	28137
Arabidopsis thaliana	Eukaryota	Plants	Land Plants	244.583	36.4	0	0
Puccinia sorghi	Eukaryota	Fungi	Basidiomycetes	99.5341	44.8	21687	21078
Amorphotheca resinae	Eukaryota	Fungi	Ascomycetes	54.4745	48.9	0	0
Frankliniella occidentalis	Eukaryota	Animals	Insects	415.782	50.1	0	0
Gavialis gangeticus	Eukaryota	Animals	Other Animals	2640.79	32.3001	13	13
Fukomys damarensis	Eukaryota	Animals	Mammals	2333.89	40.5	29892	43907
Solicoccozyma phenolicus	Eukaryota	Fungi	Basidiomycetes	22.2635	54.9	0	0
Brachypodium distachyon	Eukaryota	Plants	Land Plants	214.716	0	0	0
Citrus sinensis	Eukaryota	Plants	Land Plants	327.83	35.3314	28407	35648
Mustela putorius furo	Eukaryota	Animals	Mammals	2410.88	41.9	27321	48107
Baeospora myosura	Eukaryota	Fungi	Basidiomycetes	61.019	50.5	0	0
Trichoderma harzianum	Eukaryota	Fungi	Ascomycetes	39.7215	48.5	11498	11498
Fusarium oxysporum	Eukaryota	Fungi	Ascomycetes	48.9969	47.9	0	0
Phormia regina	Eukaryota	Animals	Insects	549.933	26.2	0	0
Pseudozyma hubeiensis	Eukaryota	Fungi	Basidiomycetes	21.3223	0	0	0
Ladona fulva	Eukaryota	Animals	Insects	1158.11	38.7	0	0
Neolamprologus brichardi	Eukaryota	Animals	Fishes	847.91	42.0001	25031	31372
Acinonyx jubatus	Eukaryota	Animals	Mammals	2372.55	41.4	25029	27284
Polysphondylium violaceum	Eukaryota	Protists	Other Protists	25.7234	31.8	0	0
Aspergillus ochraceoroseus	Eukaryota	Fungi	Ascomycetes	24.2737	48.2	7829	7829
Aotus nancymaae	Eukaryota	Animals	Mammals	2926.58	41.7	30017	43831
Bubalus bubalis	Eukaryota	Animals	Mammals	654.914	42.3	0	0
Tephritis californica	Eukaryota	Animals	Insects	342.258	37.2	0	0
Zoysia pacifica	Eukaryota	Plants	Land Plants	397.01	43.2	0	0
Schistocephalus solidus	Eukaryota	Animals	Flatworms	539.425	43.3	0	0
Candida sp. LDI48194	Eukaryota	Fungi	Ascomycetes	13.9915	33.1	0	0
Tetrahymena borealis	Eukaryota	Protists	Other Protists	93.5061	24.3	0	0
Ustilago xerochloae	Eukaryota	Fungi	Basidiomycetes	24.2307	0	0	0
Amazona aestiva	Eukaryota	Animals	Birds	1129.54	42.2	16307	16144
Tritrichomonas foetus	Eukaryota	Protists	Other Protists	67.5857	30.1	25336	25030
Cavia porcellus	Eukaryota	Animals	Mammals	2723.22	40.1	27805	37720
Ocimum tenuiflorum	Eukaryota	Plants	Land Plants	311.125	35.9	0	0
Porphyridium purpureum	Eukaryota	Other	Other	19.4519	55.5	0	0
Holtermannia corniformis	Eukaryota	Fungi	Basidiomycetes	20.7218	55.2	0	0
Armillaria fuscipes	Eukaryota	Fungi	Basidiomycetes	52.9843	0	0	0
Eulemur flavifrons	Eukaryota	Animals	Mammals	2115.57	40.5	0	0
Yarrowia deformans	Eukaryota	Fungi	Ascomycetes	20.8771	50	0	0
Pseudogymnoascus sp. 03VT05	Eukaryota	Fungi	Ascomycetes	33.2926	49.2	10392	10252
Herpetomonas muscarum	Eukaryota	Protists	Kinetoplasts	30.8448	58.2	0	0
Penstemon fruticosus	Eukaryota	Plants	Land Plants	2.31904	35.2	0	0
Diaporthe helianthi	Eukaryota	Fungi	Ascomycetes	46.4878	51.1	14220	14220
Cryptosporidium meleagridis	Eukaryota	Protists	Apicomplexans	8.9732	31	0	0
Brettanomyces anomalus	Eukaryota	Fungi	Ascomycetes	12.503	39.9	0	0
Microcebus murinus	Eukaryota	Animals	Mammals	2438.8	41.2	31360	56296
Malassezia nana	Eukaryota	Fungi	Basidiomycetes	7.57949	58	0	0
Lymnaea stagnalis	Eukaryota	Animals	Other Animals	833.229	37.4	0	0
Fasciola hepatica	Eukaryota	Animals	Flatworms	1182.4	44.1	0	0
Hypocrella siamensis	Eukaryota	Fungi	Ascomycetes	28.8565	53.1	0	0
Schistosoma mansoni	Eukaryota	Animals	Flatworms	364.538	35.2769	13258	11725
Thermomucor indicae-seudaticae	Eukaryota	Fungi	Other Fungi	29.5709	45.8	0	0
Euplotes focardii	Eukaryota	Protists	Other Protists	80.4079	37.7	0	0
Hymenoscyphus repandus	Eukaryota	Fungi	Ascomycetes	42.8136	45.6	0	0
Centruroides exilicauda	Eukaryota	Animals	Other Animals	926.4	36.7	0	0
Brettanomyces custersianus	Eukaryota	Fungi	Ascomycetes	10.2194	40	0	0
Theobroma cacao	Eukaryota	Plants	Land Plants	324.88	34.9922	24918	30854
Conus tribblei	Eukaryota	Animals	Other Animals	2160.49	0	0	0
Drosophila navojoa	Eukaryota	Animals	Insects	115.886	40.3	11332	15855
Leishmania enriettii	Eukaryota	Protists	Kinetoplasts	30.7619	59.104	0	0
Synchytrium endobioticum	Eukaryota	Fungi	Other Fungi	2.08112	47.1	0	0
Liriomyza trifolii	Eukaryota	Animals	Insects	69.6986	33.2	0	0
Mus musculus	Eukaryota	Animals	Mammals	2807.72	41.9473	48509	78239
Ramularia collo-cygni	Eukaryota	Fungi	Ascomycetes	30.3	51.4	0	0
Fusarium proliferatum	Eukaryota	Fungi	Ascomycetes	43.1661	48.7	15602	15254
Manduca sexta	Eukaryota	Animals	Insects	419.424	35.9	0	0
Pteronotus parnellii	Eukaryota	Animals	Mammals	1960.32	40.8	0	0
Dactylonectria macrodidyma	Eukaryota	Fungi	Ascomycetes	57.9964	50	0	0
Thielaviopsis paradoxa	Eukaryota	Fungi	Ascomycetes	29.4686	50.8	0	0
Filobasidium wieringae	Eukaryota	Fungi	Basidiomycetes	19.7813	49.9	0	0
Haemonchus placei	Eukaryota	Animals	Roundworms	259.126	43.1	0	0
Metaseiulus occidentalis	Eukaryota	Animals	Other Animals	151.724	51.5955	12310	12003
Fusarium temperatum	Eukaryota	Fungi	Ascomycetes	45.4588	47	0	0
Yarrowia lipolytica	Eukaryota	Fungi	Ascomycetes	20.548	48.9838	8746	7949
Exophiala alcalophila	Eukaryota	Fungi	Ascomycetes	29.8536	54.1	0	0
Trichechus manatus latirostris	Eukaryota	Animals	Mammals	3103.81	41.6	22652	26315
Sporothrix globosa	Eukaryota	Fungi	Ascomycetes	33.4736	54.3	0	0
Basidioascus undulatus	Eukaryota	Fungi	Basidiomycetes	32.1281	58	0	0
Oryctes borbonicus	Eukaryota	Animals	Insects	423.766	34.4	8822	8822
Lucilia cuprina	Eukaryota	Animals	Insects	434.129	32.8	14452	14452
Chironomus tentans	Eukaryota	Animals	Insects	213.463	33.8	0	0
Acanthamoeba pearcei	Eukaryota	Protists	Other Protists	115.614	59	0	0
Endocarpon pusillum	Eukaryota	Fungi	Ascomycetes	37.1732	49.7	0	0
Megaderma lyra	Eukaryota	Animals	Mammals	1735.93	40.3	0	0
Solanum lycopersicum	Eukaryota	Plants	Land Plants	540.589	34.5	0	0
Leptopilina clavipes	Eukaryota	Animals	Insects	255.344	29.6	0	0
Pongo abelii	Eukaryota	Animals	Mammals	3441.24	41.5894	32434	37509
Acanthamoeba quina	Eukaryota	Protists	Other Protists	83.589	59.2	0	0
Naganishia albida	Eukaryota	Fungi	Basidiomycetes	20.6974	53.8	0	0
Crepidotus sp. BD-2015	Eukaryota	Fungi	Basidiomycetes	70.2573	54.3	0	0
Pinus taeda	Eukaryota	Plants	Land Plants	22061.9	32.8	0	0
Oryza meyeriana var. granulata	Eukaryota	Plants	Land Plants	35.2457	46	0	0
Lingula anatina	Eukaryota	Animals	Other Animals	425.495	37	32257	43670
Malassezia cuniculi	Eukaryota	Fungi	Basidiomycetes	7.45991	59	0	0
Glycine soja	Eukaryota	Plants	Land Plants	863.568	34.5	50399	50399
Diplodia seriata	Eukaryota	Fungi	Ascomycetes	37.1209	56.7	9343	9343
Poecilia mexicana	Eukaryota	Animals	Fishes	801.711	40.7	30746	47406
Pestalotiopsis sp. JCM 9685	Eukaryota	Fungi	Ascomycetes	48.23	51.6	0	0
Purpureocillium lilacinum	Eukaryota	Fungi	Ascomycetes	38.1405	57.9	11861	11773
Microbotryum lychnidis-dioicae	Eukaryota	Fungi	Basidiomycetes	26.7537	0	0	0
Shiraia sp. slf14	Eukaryota	Fungi	Ascomycetes	32.0674	48	0	0
Acanthamoeba rhysodes	Eukaryota	Protists	Other Protists	75.8213	57.9	0	0
Sisymbrium irio	Eukaryota	Plants	Land Plants	245.55	38	0	0
Citrullus lanatus	Eukaryota	Plants	Land Plants	321.047	32.9	0	0
Fonsecaea erecta	Eukaryota	Fungi	Ascomycetes	34.748	53.1	12099	12090
Boleophthalmus pectinirostris	Eukaryota	Animals	Fishes	955.735	40.1	0	0
Paramecium sexaurelia	Eukaryota	Protists	Other Protists	68.0166	24.4	0	0
Esox lucius	Eukaryota	Animals	Fishes	904.453	42.1896	26012	43433
Aspergillus udagawae	Eukaryota	Fungi	Ascomycetes	32.1856	49.6	10195	9999
Giardia intestinalis	Eukaryota	Protists	Other Protists	10.7039	49	5204	5147
Scleropages formosus	Eukaryota	Animals	Fishes	746.544	43.9	0	0
Puccinia psidii	Eukaryota	Fungi	Basidiomycetes	129.776	31.2	0	0
Gadus morhua	Eukaryota	Animals	Fishes	824.311	46.3	0	0
Yarrowia keelungensis	Eukaryota	Fungi	Ascomycetes	21.8244	48	0	0
Ostreococcus tauri	Eukaryota	Plants	Green Algae	12.5723	59.2119	15782	15656
Cerataphis brasiliensis yeast-like symbiont	Eukaryota	Fungi	Ascomycetes	25.4655	56	0	0
Rotaria magnacalcarata	Eukaryota	Animals	Other Animals	0.702958	34.9	0	0
Chrysoporthe austroafricana	Eukaryota	Fungi	Ascomycetes	44.6689	54.3	0	0
Steinernema scapterisci	Eukaryota	Animals	Roundworms	79.6513	47.9	0	0
Pseudogymnoascus sp. VKM F-4516 (FW-969)	Eukaryota	Fungi	Ascomycetes	27.5992	50.4	9363	9363
Vigna radiata	Eukaryota	Plants	Land Plants	10.1012	34.9	0	0
Ophiocordyceps unilateralis	Eukaryota	Fungi	Ascomycetes	25.4937	55	7821	7821
Aspergillus flavus	Eukaryota	Fungi	Ascomycetes	35.7845	0	0	0
Rhinolophus sinicus	Eukaryota	Animals	Mammals	2073.34	39.4	0	0
Pristionchus pacificus	Eukaryota	Animals	Roundworms	133.114	42.7	16763	16763
Sinocyclocheilus rhinocerous	Eukaryota	Animals	Fishes	1655.79	38.1	52111	68562
Chlorocebus sabaeus	Eukaryota	Animals	Mammals	2789.66	40.9303	35027	61803
Drosophila biarmipes	Eukaryota	Animals	Insects	169.379	41.8	14943	22690
Dactylopius coccus	Eukaryota	Animals	Insects	18.6131	58.1	0	0
Lasallia pustulata	Eukaryota	Fungi	Ascomycetes	39.2298	51.2	0	0
Chlamydomonas applanata	Eukaryota	Plants	Green Algae	78.5042	56.3	0	0
Trichoderma pleuroti	Eukaryota	Fungi	Ascomycetes	38.1377	49.6	0	0
Calliphora vicina	Eukaryota	Animals	Insects	459.231	35.1	0	0
Linepithema humile	Eukaryota	Animals	Insects	219.501	37.9	12976	21674
Eragrostis tef	Eukaryota	Plants	Land Plants	607.318	45.5	0	0
Fusarium sp. JS626	Eukaryota	Fungi	Ascomycetes	42.8669	48.2	0	0
Drosophila persimilis	Eukaryota	Animals	Insects	188.374	45.2	17479	16878
Cutaneotrichosporon guehoae	Eukaryota	Fungi	Basidiomycetes	33.6989	59.2	0	0
Mitosporidium daphniae	Eukaryota	Fungi	Other Fungi	5.63696	43	3330	3330
Charadrius vociferus	Eukaryota	Animals	Birds	1219.86	42	14731	16428
Diaporthe ampelina	Eukaryota	Fungi	Ascomycetes	59.4959	51.7	0	0
Eimeria necatrix	Eukaryota	Protists	Apicomplexans	55.0079	51	8584	8609
Phytophthora lateralis	Eukaryota	Protists	Other Protists	52.4486	53.2	0	0
Spirodela polyrhiza	Eukaryota	Plants	Land Plants	132.009	42.2	0	0
Oryza sativa	Eukaryota	Plants	Land Plants	295.39	41	0	0
Capsella rubella	Eukaryota	Plants	Land Plants	133.064	35.9	26776	28713
Sarcophilus harrisii	Eukaryota	Animals	Mammals	3174.69	37	21994	24821
Leptomonas seymouri	Eukaryota	Protists	Kinetoplasts	27.7642	55.6	8586	8485
Trachymyrmex zeteki	Eukaryota	Animals	Insects	267.973	34.9	11995	18778
Apiotrichum porosum	Eukaryota	Fungi	Basidiomycetes	25.9893	59	0	0
Talaromyces leycettanus	Eukaryota	Fungi	Ascomycetes	25.9463	49.7	0	0
Brettanomyces bruxellensis	Eukaryota	Fungi	Ascomycetes	11.7665	39.8	0	0
Trichuris suis	Eukaryota	Animals	Roundworms	63.8397	43.3	10162	9829
Oryza nivara	Eukaryota	Plants	Land Plants	337.95	42.9397	0	0
Colletotrichum higginsianum	Eukaryota	Fungi	Ascomycetes	49.0849	55.1	16511	16141
Cordyceps confragosa	Eukaryota	Fungi	Ascomycetes	32.6037	51	8126	8126
Steinernema monticolum	Eukaryota	Animals	Roundworms	89.159	41.8	0	0
Ophiocordyceps bispora	Eukaryota	Fungi	Ascomycetes	6.35938	58.4	0	0
Saccharomycopsis malanga	Eukaryota	Fungi	Ascomycetes	16.7197	37.8	0	0
Hymenoscyphus fraxineus	Eukaryota	Fungi	Ascomycetes	51.525	43.7	0	0
Panthera pardus	Eukaryota	Animals	Mammals	2578.02	41.9	33968	57954
Anopheles darlingi	Eukaryota	Animals	Insects	136.936	48.3	10672	10444
Pseudogymnoascus sp. VKM F-3775	Eukaryota	Fungi	Ascomycetes	28.5069	49	9472	9472
Subanguina moxae	Eukaryota	Animals	Roundworms	90.131	38.1	0	0
Selaginella moellendorffii	Eukaryota	Plants	Land Plants	212.502	45.3	34781	34747
Aspergillus fumigatus	Eukaryota	Fungi	Ascomycetes	27.5225	50	0	0
Endotrypanum monterogeii	Eukaryota	Protists	Kinetoplasts	32.5204	52.6723	0	0
Hypsizygus marmoreus	Eukaryota	Fungi	Basidiomycetes	59.3842	49.6	0	0
Chrysosporium queenslandicum	Eukaryota	Fungi	Ascomycetes	32.336	52.6	0	0
Torulaspora delbrueckii	Eukaryota	Fungi	Ascomycetes	11.525	41.5634	0	0
Colletotrichum acutatum	Eukaryota	Fungi	Ascomycetes	44.92	49.9	0	0
Malassezia pachydermatis	Eukaryota	Fungi	Basidiomycetes	8.15065	55.1	4202	4202
Sarcocystis neurona	Eukaryota	Protists	Apicomplexans	130.023	51.2	0	0
Ciona intestinalis	Eukaryota	Animals	Other Animals	116.733	36.1	0	0
Morone saxatilis	Eukaryota	Animals	Fishes	585.167	40	0	0
Monodelphis domestica	Eukaryota	Animals	Mammals	3598.44	38.1446	37096	49112
Aspergillus chevalieri	Eukaryota	Fungi	Ascomycetes	28.0052	48	0	0
Daldinia eschscholtzii	Eukaryota	Fungi	Ascomycetes	35.5399	46.8	0	0
Salpingoeca rosetta	Eukaryota	Protists	Other Protists	55.4403	55.5	11796	11731
Phalacrocorax carbo	Eukaryota	Animals	Birds	1138.97	41.3	14501	15339
Zostera marina	Eukaryota	Plants	Land Plants	203.914	38.9	20855	20648
Fusarium graminearum	Eukaryota	Fungi	Ascomycetes	36.6664	48.4	0	0
Tetradesmus obliquus	Eukaryota	Plants	Green Algae	107.716	56.8	0	0
Oxytricha trifallax	Eukaryota	Protists	Other Protists	57.457	31.2	0	0
Acanthamoeba culbertsoni	Eukaryota	Protists	Other Protists	55.5438	50.4	0	0
Harpegnathos saltator	Eukaryota	Animals	Insects	294.466	45.3	12374	20504
Dictyostelium citrinum	Eukaryota	Protists	Other Protists	26.2518	30.3	0	0
Melipona quadrifasciata	Eukaryota	Animals	Insects	256.303	39	14608	14257
Mycena chlorophos	Eukaryota	Fungi	Basidiomycetes	43.602	55.3	17440	19140
Cutaneotrichosporon curvatus	Eukaryota	Fungi	Basidiomycetes	19.9082	60.7	0	0
Dicentrarchus labrax	Eukaryota	Animals	Fishes	675.917	40.4	0	0
Polistes canadensis	Eukaryota	Animals	Insects	211.202	33.2	10668	19297
Polistes dominula	Eukaryota	Animals	Insects	208.026	31.5	11258	20855
Ellobius lutescens	Eukaryota	Animals	Mammals	2353.19	39.9	0	0
Echinostoma caproni	Eukaryota	Animals	Flatworms	834.556	43.1	0	0
Apiotrichum laibachii	Eukaryota	Fungi	Basidiomycetes	30.6166	59.6	0	0
Meloidogyne floridensis	Eukaryota	Animals	Roundworms	96.6731	30	0	0
Silene latifolia	Eukaryota	Plants	Land Plants	36.0486	0	0	0
Plasmodiophora brassicae	Eukaryota	Protists	Other Protists	24.0508	59.2	9727	9727
Astrammina rara	Eukaryota	Protists	Other Protists	1.45009	42	0	0
Sanghuangporus baumii	Eukaryota	Fungi	Basidiomycetes	31.6414	47.6	8455	8455
Talaromyces purpureogenus	Eukaryota	Fungi	Ascomycetes	38.8536	48.7	0	0
Obba rivulosa	Eukaryota	Fungi	Basidiomycetes	34.0376	53.6	13374	13198
Populus euphratica	Eukaryota	Plants	Land Plants	496.033	32.8012	36176	49760
Pyrenochaeta sp. DS3sAY3a	Eukaryota	Fungi	Ascomycetes	38.501	51.1	15074	14990
Escovopsis weberi	Eukaryota	Fungi	Ascomycetes	27.2009	56.6	6870	6870
Lipotes vexillifer	Eukaryota	Animals	Mammals	2429.21	41.4	25232	26901
Gallus gallus	Eukaryota	Animals	Birds	1230.26	42.9197	25062	46393
Fusarium sp. JS1030	Eukaryota	Fungi	Ascomycetes	53.7483	51.7	0	0
Propithecus coquereli	Eukaryota	Animals	Mammals	2798.15	43.2	22836	28194
Bullera alba	Eukaryota	Fungi	Basidiomycetes	19.4173	54.3	0	0
Ditylenchus destructor	Eukaryota	Animals	Roundworms	111.138	36.1	0	0
Lichtheimia ramosa	Eukaryota	Fungi	Other Fungi	30.709	41.2	11510	11542
Apiotrichum veenhuisii	Eukaryota	Fungi	Basidiomycetes	31.6177	59.6	0	0
Trifolium pratense	Eukaryota	Plants	Land Plants	345.991	18.9292	0	0
Aspergillus rambellii	Eukaryota	Fungi	Ascomycetes	26.4356	45.8	7761	7761
Oryza brachyantha	Eukaryota	Plants	Land Plants	259.908	41.0964	24793	26803
Eidolon helvum	Eukaryota	Animals	Mammals	1837.75	39.2	0	0
Aspergillus luchuensis	Eukaryota	Fungi	Ascomycetes	34.1838	49.9	12920	12920
Nilaparvata lugens yeast-like symbiont	Eukaryota	Fungi	Ascomycetes	26.8096	55	0	0
Leishmania peruviana	Eukaryota	Protists	Kinetoplasts	32.9078	55.9952	0	0
Mchenga conophoros	Eukaryota	Animals	Fishes	73.4256	41.8	0	0
Bos mutus	Eukaryota	Animals	Mammals	2645.16	42	25577	28881
Rousettus aegyptiacus	Eukaryota	Animals	Mammals	1910.25	40	24986	48803
Malassezia slooffiae	Eukaryota	Fungi	Basidiomycetes	8.4259	65.9	0	0
Trifolium subterraneum	Eukaryota	Plants	Land Plants	471.834	35.2	42683	42059
Naegleria gruberi	Eukaryota	Protists	Other Protists	40.9641	35	16620	15711
Pseudogymnoascus sp. VKM F-4246	Eukaryota	Fungi	Ascomycetes	25.7599	51	8540	8540
Ficedula albicollis	Eukaryota	Animals	Birds	6.99186	42.5	0	0
Talaromyces atroroseus	Eukaryota	Fungi	Ascomycetes	30.8586	44.3	9523	9523
Poecilia formosa	Eukaryota	Animals	Fishes	748.923	39.6	31585	49495
Callorhinchus milii	Eukaryota	Animals	Fishes	974.499	42.5998	33094	28237
Amborella trichopoda	Eukaryota	Plants	Land Plants	706.495	38.1	18225	20379
Bipolaris oryzae	Eukaryota	Fungi	Ascomycetes	31.674	50.5	0	0
Uromyces viciae-fabae	Eukaryota	Fungi	Basidiomycetes	215.71	35.9	0	0
Heterorhabditis bacteriophora	Eukaryota	Animals	Roundworms	76.9743	33.9	0	0
Dictyostelium purpureum	Eukaryota	Protists	Other Protists	32.9672	24.5	12403	12399
Hyalella azteca	Eukaryota	Animals	Other Animals	550.886	38.5	19884	22749
Bactrocera tryoni	Eukaryota	Animals	Insects	519.006	38.8	0	0
Trametes hirsuta	Eukaryota	Fungi	Basidiomycetes	33.6185	56.8	0	0
Reticulascus tulasneorum	Eukaryota	Fungi	Ascomycetes	42.8684	50.8	0	0
Babesia bovis	Eukaryota	Protists	Apicomplexans	8.17971	41.6127	3781	3706
Chlamydotis macqueenii	Eukaryota	Animals	Birds	1086.57	41.1	14765	15683
Arabis montbretiana	Eukaryota	Plants	Land Plants	199.12	35.8	0	0
Tupaia belangeri	Eukaryota	Animals	Mammals	2137.23	41.4	0	0
Epichloe aotearoae	Eukaryota	Fungi	Ascomycetes	34.4231	43.6	0	0
Cuculus canorus	Eukaryota	Animals	Birds	1153.89	41.7	15045	16796
Rhodotorula mucilaginosa	Eukaryota	Fungi	Basidiomycetes	19.9818	60.5	0	0
Malassezia obtusa	Eukaryota	Fungi	Basidiomycetes	7.84288	62.2	0	0
Rhodotorula sp. JG-1b	Eukaryota	Fungi	Basidiomycetes	19.3934	60.6	6790	6681
Trichoplax adhaerens	Eukaryota	Animals	Other Animals	105.632	34.5	11518	11520
Candida parapsilosis	Eukaryota	Fungi	Ascomycetes	12.6406	38.3	0	0
Trichuris trichiura	Eukaryota	Animals	Roundworms	75.4964	42.2	9650	9650
Cyclospora cayetanensis	Eukaryota	Protists	Apicomplexans	44.0344	51.8	7428	7153
Hymenoscyphus scutula	Eukaryota	Fungi	Ascomycetes	63.2264	41.1	0	0
Ephydra gracilis	Eukaryota	Animals	Insects	410.873	35.8	0	0
Belgica antarctica	Eukaryota	Animals	Insects	89.5837	38.8	0	0
Vanrija humicola	Eukaryota	Fungi	Basidiomycetes	22.6538	62.7	0	0
Botrytis paeoniae	Eukaryota	Fungi	Ascomycetes	44.2422	41.1	0	0
Anopheles atroparvus	Eukaryota	Animals	Insects	224.29	46.8	0	0
Drosophila simulans	Eukaryota	Animals	Insects	124.964	42.9696	15242	24132
Biatriospora mackinnonii	Eukaryota	Fungi	Ascomycetes	51.7106	47.9	0	0
Enterobius vermicularis	Eukaryota	Animals	Roundworms	150.051	33.2	0	0
